time_us,temp_C,hum_pct,press_hPa,altitude_m,accelX,accelY,accelZ,voltage_V
4982153,24.76,60.06,948.15,556.59,867.68,455.57,404.30,0.00
5044102,24.75,59.76,948.17,556.89,846.68,502.44,445.31,0.00
5103336,24.74,59.84,948.10,557.03,718.26,424.32,417.48,0.00
5157578,24.76,60.30,948.18,556.35,798.83,440.92,417.97,0.00
5211856,24.75,59.85,948.14,556.65,876.95,534.18,1219.24,0.00
5266258,24.75,60.57,948.14,556.65,809.57,445.31,410.16,0.00
5321709,24.76,60.02,948.12,556.82,799.80,420.90,423.34,0.00
5378464,24.76,59.77,948.18,556.35,826.17,382.81,404.79,0.00
5440931,24.77,60.52,948.24,555.80,850.10,312.50,278.32,0.00
5497975,24.76,60.24,948.18,556.35,851.56,374.51,437.50,0.00
5556121,24.77,60.22,948.14,556.68,907.23,445.31,382.32,0.00
5611738,24.77,59.93,948.18,556.27,880.37,334.47,329.10,0.00
5667269,24.77,60.01,948.13,556.27,839.36,229.49,358.40,0.00
5725425,24.77,59.94,948.19,556.20,928.71,316.41,289.55,0.00
5776825,24.77,60.48,948.13,556.75,881.84,201.17,350.59,0.00
5828262,24.77,59.83,948.16,556.51,853.52,305.18,270.02,0.00
5882922,24.77,60.21,948.13,556.75,812.50,314.94,311.04,0.00
5935596,24.79,60.38,948.22,556.00,937.01,438.96,415.04,0.00
5989608,24.77,60.21,948.10,556.99,790.53,416.99,378.42,0.00
6043950,24.77,59.85,948.16,556.44,956.05,500.00,331.54,0.00
6098130,24.76,60.05,948.09,557.06,841.80,345.21,381.35,0.00
6152976,24.75,60.43,948.16,556.49,1064.94,603.03,70.80,0.00
6208476,24.76,60.45,948.12,556.82,514.16,371.09,491.70,0.00
6264009,24.75,60.16,948.14,556.65,581.54,419.43,426.27,0.00
6327357,24.77,59.92,948.18,556.27,757.81,634.28,506.84,0.00
6378957,24.78,60.12,948.17,556.37,642.09,521.97,324.71,0.00
6432143,24.77,60.24,948.21,556.04,628.91,731.45,356.45,0.00
6483863,24.77,60.29,948.14,556.68,729.00,663.09,254.39,0.00
6535502,24.77,59.86,948.19,556.20,531.74,741.21,349.12,0.00
6589922,24.77,60.06,948.16,555.97,470.21,788.09,299.32,0.00
6643910,24.77,59.99,948.16,556.44,491.21,939.45,246.09,0.00
6698019,24.77,59.76,948.14,556.68,360.35,831.54,82.03,0.00
6752158,24.77,59.96,948.14,556.68,288.09,910.64,194.34,0.00
6812447,24.78,59.89,948.15,556.54,199.71,986.33,185.55,0.00
6867877,24.78,60.74,948.12,556.85,190.92,1024.41,231.45,0.00
6923484,24.78,59.96,948.12,556.85,146.48,1186.04,162.11,0.00
6979595,24.78,60.08,948.18,556.30,134.77,1132.81,62.50,0.00
7031219,24.78,60.13,948.21,556.07,324.71,884.77,-71.78,0.00
7082823,24.79,59.92,948.16,556.47,351.56,1013.18,93.75,0.00
7134609,24.77,59.86,948.14,556.68,323.73,881.35,-98.14,0.00
7187790,24.77,60.50,948.16,556.51,332.03,930.66,5.86,0.00
7246328,24.78,60.05,948.15,556.61,200.20,944.82,17.58,0.00
7300596,24.78,60.12,948.18,556.30,335.45,973.63,-21.00,0.00
